"","MB01","MB02","MB03","MB14","MB19","MB47","MB50","MB51","MB52","MB53","MB04","MB05","MB06","MB24","MB25","MB40","MB43","MB46","MB49","MB55","MB08","MB09","MB10","MB16","MB17","MB22","MB07","MB13","MB15","MB20","MB39","MB48","MB54","MB21","MB30","MB31","MB33","MB34"
"ARAP1",0.414844,-0.427977,-0.208406,1.76593,4.04946,2.93664,-0.233837,2.12822,-0.805972,1.55079,-1.42816,0.435939,0.604178,1.19286,-1.4469,0.0077113,0.804805,-0.101756,0.33128,-0.408709,NA,2.68802,-0.24618,-2.2021,0.254565,-1.29389,1.9451,0.243057,0.642304,NA,1.40624,-0.72487,2.5743,0.548046,NA,NA,0.89017,0.260732
"NELFD",0.488268,0.0398853,0.0692842,0.582657,0.404637,0.51223,-0.58802,0.483079,0.719225,-0.075221,-0.419069,0.363341,-0.957798,0.41579,-0.852136,-0.314553,0.608603,0.6529,-0.209646,0.034154,0.00100664,0.38741,-0.232984,0.215964,-0.0886745,0.0952497,0.4072,0.197472,0.669532,-0.0615911,0.638922,0.599807,0.373089,-0.592182,0.388431,-0.155444,-0.666421,0.0920716
"PYRG2",0.594208,0.363608,-0.361296,0.139938,-1.5017,0.107356,-0.216206,0.573941,-0.0100082,0.186668,0.0857391,-0.0504943,0.954003,1.29886,-0.245073,1.03655,0.596532,0.00317532,0.371887,-0.144824,-0.405836,-0.269905,0.340838,0.219741,-0.313781,-0.0776922,0.281036,-0.601649,0.189127,0.717258,0.669076,0.731349,0.627014,-1.23508,0.8253,0.587481,0.461908,1.02864
"PPAL",0.242292,0.560729,-0.192302,1.01009,1.90486,0.726929,-0.160769,1.32445,1.51401,2.98876,1.41465,0.612623,-0.405375,0.922789,1.43633,1.02624,0.806814,1.13174,NA,0.685479,1.07212,0.898367,0.998266,-0.136529,0.893067,0.72417,1.66056,1.22852,NA,0.0261969,1.13793,1.31442,NA,2.33952,1.40502,1.97162,1.87837,1.60666
"HSP7C",-0.177639,-0.31984,0.0612453,-0.213885,-0.457199,-0.205361,-0.0809398,-0.279969,-0.347714,0.094106,-0.4246,-0.0132995,-0.341209,-0.185757,-0.284803,-0.0214706,-0.385382,-0.218471,-0.379935,-0.223726,-0.359288,-0.172826,-0.269344,-0.158147,-0.21262,-0.0482656,-0.188345,0.126736,-0.375637,-0.0989091,0.01674,0.252648,0.0434851,0.073627,-0.27633,-0.428745,-0.00796762,-0.59732
"SC31A",0.384794,0.487267,0.225465,0.187981,0.440284,0.505312,0.32704,0.675681,0.168152,0.12919,0.587222,0.0322961,0.528264,0.488162,0.0357928,0.563822,0.685045,0.674081,0.49991,0.490827,-0.119337,0.407604,-0.211589,0.270949,0.54045,0.0770991,0.145496,0.178383,0.240836,0.0532853,0.174472,0.0417725,0.411302,1.19471,0.919276,1.23748,0.81709,0.783337
"GT251",-1.99606,-2.55291,-2.17251,-1.476,-2.4113,-3.39525,-2.17843,-1.98898,-2.61807,-2.39301,-2.51653,-2.32355,-2.39713,-2.60338,-2.24486,-2.23588,-1.95867,-2.09745,-1.8778,-2.19183,-3.63799,-3.5485,-4.2123,-4.15713,-2.53926,-3.66467,-4.42911,-3.81223,-3.61535,-4.45357,-3.26831,-2.64138,-2.83716,-1.05354,-2.15461,-1.66729,-2.1861,-1.78106
"ATAT",1.51067,2.78964,2.06549,3.29832,1.29236,2.06562,3.50427,2.16995,4.21921,3.62519,3.04817,2.89,3.41911,4.39177,5.28743,3.91518,4.54064,3.63597,3.96422,4.04611,4.68855,2.69009,4.83737,3.78837,5.06677,4.79339,2.59033,3.55976,3.22731,4.72416,4.25724,5.21909,1.99926,-0.111005,NA,0.754377,1.26317,1.2381
"SKP1",-0.13733,0.00093347,0.0103225,-0.0257214,-0.0921492,0.410132,-0.0510767,0.382121,0.351911,0.499558,0.100857,0.271642,-0.0136688,0.32107,0.220685,0.316903,-0.0277037,0.311408,0.113758,0.291709,0.452064,0.282528,0.949258,1.10387,0.188726,0.731848,0.676778,1.56503,0.417691,0.962867,2.17121,1.57497,0.591688,-0.113244,0.36532,0.383986,0.641024,0.68694
"T126A",0.674887,-0.262775,0.657901,0.735686,1.45826,0.190178,0.424277,0.988331,0.917211,0.789602,0.613146,-0.112068,-0.130997,-0.0217592,0.886248,0.0591406,0.102134,-0.0472,0.505443,1.17187,0.303348,-0.414081,0.361032,-0.27568,0.0576022,0.0929024,0.407061,0.233075,-0.987504,NA,-0.644347,0.468464,0.274163,-0.468405,0.771864,0.0547394,0.0182622,-0.323706
"ITA6",-3.887,-4.84361,-4.02734,-4.56025,-3.23001,-4.52648,-4.86946,-2.77788,-3.69336,-4.14811,-4.65761,-4.36936,-3.10352,-5.08774,-3.73754,-1.39791,-3.81924,-3.68088,-3.57981,-3.68193,-3.05678,-4.84737,-3.3087,-4.54267,-3.783,-3.6723,-3.53704,-3.95042,-4.81991,-4.65101,-3.75105,-3.67752,-4.57174,-2.71694,-4.14627,-3.70676,-3.53622,-1.98365
"FOCAD",1.18686,0.608988,-2.75128,0.163661,0.754314,-0.365242,-0.92566,0.359424,-0.617585,-0.0164609,0.514139,0.293441,0.960364,0.542109,0.25085,-0.835101,0.439495,0.493133,0.660886,0.387071,-0.767321,-0.546242,-0.752865,-0.794414,0.260159,-1.09371,-0.920629,-0.00593707,0.373901,NA,0.00511048,-0.721595,-0.356872,1.06994,0.926523,1.46607,0.45794,1.41067
"COPG2",-0.186457,-0.00231616,-1.22505,-0.103042,0.259048,-0.268511,-0.652749,-0.111328,-0.682674,0.0496575,-0.251449,-0.0848964,-0.22024,-0.254708,-0.241921,-0.687233,-0.205134,-0.303408,-0.880361,-0.128595,-0.126517,0.469451,-0.00910589,-0.068456,0.125688,0.0498589,-0.0720734,-0.0611632,0.418272,0.30217,-0.250919,-0.0633585,0.226191,-0.153242,0.505352,0.497258,-0.0815135,-0.0524978
"GLYM",-0.0635831,-0.151391,-0.321419,-1.51431,-0.813073,-2.04561,-0.2107,-2.49629,-0.816088,-1.03617,-0.583439,-0.460689,-0.401268,-0.612172,-0.531524,-0.593321,-0.872642,-0.213915,-0.569846,-1.41153,-2.38617,-2.8682,-2.58979,-2.32291,-2.59937,-2.69846,-2.73417,-1.53118,-2.29497,-2.91846,-1.16543,-1.46951,-2.94859,-2.03546,-1.76043,-2.33555,-1.48996,-2.7473
"EMC8",-0.37473,-0.250668,NA,-0.834379,-0.199106,0.0436524,NA,0.456524,NA,NA,-0.392554,-0.78327,-1.46087,-0.971083,-0.560257,-0.614803,-0.88742,-0.97805,-0.28367,-0.570294,NA,-0.312051,-0.758648,NA,-0.579474,-0.472911,-0.427145,NA,-0.539517,-0.30939,-0.958836,NA,0.208877,0.12366,-0.13154,-0.187612,0.0642091,0.0442669
"GBLP",0.000166557,-0.88727,-0.0171853,-0.495224,-0.856616,-0.765094,-0.145578,-0.730301,-0.510984,-0.580283,-1.21443,-0.254123,-1.01821,-0.678807,-1.00716,-0.72294,-0.753126,-0.992134,-0.794852,-1.10738,-1.50358,-1.03242,-1.5257,-1.47331,-1.11633,-1.40002,-1.28482,-1.37908,-1.07397,-1.02809,-1.14004,-0.978808,-0.911372,-0.466101,-0.838386,-1.05069,-0.641644,-0.907778
"1433F",0.0430858,1.16953,0.507181,0.206346,0.100105,0.570648,1.27742,-0.061883,0.762019,0.781442,1.39545,0.472434,0.728437,0.964427,2.34245,0.699978,0.885414,0.775416,0.791939,1.52843,0.153749,0.806212,0.61285,0.986148,0.753074,0.621813,0.579289,1.06607,0.832584,1.20523,1.04825,0.951114,0.594325,0.302647,-0.207857,-0.185116,0.0575863,-0.645573
"AT2C1",-0.902427,0.221673,-0.549958,0.036555,0.525503,1.24827,0.0665847,0.592176,-0.534258,-0.284349,0.131476,-0.592291,-0.453934,-0.289411,-0.482033,-0.923134,-1.1283,-0.42905,-0.490709,-0.719079,-0.937306,1.21001,-0.713966,-0.787363,-0.47501,-0.933695,-1.12761,0.58304,0.391686,-0.363293,-0.790374,-0.891652,0.213895,-0.601761,-0.422774,-0.19969,-0.387878,0.00243116
"CYB5",-0.944932,0.51165,-0.218716,0.0212556,0.498355,-0.277084,0.511624,0.080717,0.343388,0.274425,0.215187,1.35735,0.994483,-0.0543294,-0.397629,1.0811,0.245473,0.550785,0.75977,-0.534456,0.19184,-0.132414,0.344988,0.131233,0.950084,0.601624,-0.336752,1.81116,0.786907,0.808275,1.68638,-0.0916093,-0.527205,2.89981,3.24479,0.812907,0.520809,0.437027
"CCD51",0.839828,0.323706,1.49782,-0.118823,0.582347,0.464533,0.142277,-0.53399,0.466327,-0.218069,-0.299895,-0.142082,-0.961262,-1.93156,-0.440002,-1.05808,-0.900897,-0.860091,-0.999828,-0.353572,-0.922771,-0.886063,-1.02775,-0.442062,-1.32364,-1.27855,-1.56317,-0.784091,-0.882879,-1.34171,NA,-0.94468,-0.861452,-0.635779,NA,NA,-0.114183,-0.580516
"LASP1",-0.25266,0.0955626,-0.897732,0.8054,0.491099,0.151814,0.500313,0.741404,1.12405,0.921286,0.0138697,-1.66923,0.280555,0.313968,-0.0267575,0.792874,0.598116,-0.141425,0.355714,0.729109,2.22753,0.706211,1.84589,2.10944,1.12077,1.45788,1.66876,0.379082,1.18515,1.44144,0.417492,1.67898,0.567029,0.913033,1.09275,0.849618,1.27149,0.964637
"SF3A2",0.127828,-0.21812,0.406779,-0.0312963,0.0085771,0.689222,0.0248637,0.0765238,-0.439354,-0.256048,-0.364582,0.0336577,0.198977,0.0727529,-0.702354,0.320594,0.0838775,0.168695,0.0393225,-0.518474,-0.345884,0.291439,-0.453012,0.0896366,-0.0614163,-0.415677,0.404562,-0.216686,0.0955833,-0.441749,-0.18665,-0.108189,0.336153,-0.0987436,0.231811,0.0217813,0.156466,0.379553
"SDF2L",-0.660771,-1.23535,-0.847656,NA,0.602302,-1.56806,-0.93878,-0.839833,NA,NA,-1.13929,0.544155,-0.758278,NA,0.150961,-0.116096,-1.62826,NA,-0.408956,-0.838945,-1.21317,-1.49698,NA,-1.20759,-0.58409,-0.378317,NA,-1.08574,NA,-0.528693,-3.11632,-0.834329,-0.680974,0.198404,0.885139,0.37307,-0.098533,-0.163269
"NUP85",0.169251,-0.57794,-0.0649401,-0.0608688,-0.239529,-0.158001,-0.0521866,0.108728,-0.0654421,0.260736,-0.717127,-0.244401,-0.995664,-0.218591,-1.02413,-1.20867,-0.465307,-0.362729,-0.245461,-0.982589,-0.743993,-0.456355,-1.06606,-0.922521,-0.964126,-1.19502,-0.717688,-0.983792,0.50724,-0.597046,-1.05549,-0.814748,-0.433304,-0.986399,-0.466406,-0.866419,-1.15158,-0.679261
"SDCB1",-0.743705,0.188306,-0.237806,0.0392745,-0.79897,-0.133618,-0.224763,0.650391,1.69322,0.550857,0.603357,0.581874,1.41743,1.30483,1.30672,1.48032,0.86748,1.42678,1.11745,0.997061,0.367847,-1.24578,0.103116,0.554641,0.315767,0.876686,-0.738175,0.496149,-1.20571,-1.06146,0.56839,1.64928,-1.48709,0.743711,0.620134,0.515219,0.476143,-0.165148
"LTOR3",0.667024,0.755156,1.13547,0.948286,1.40304,1.26816,0.940743,1.57813,0.997206,1.61834,1.19271,1.4357,0.937998,1.42882,1.36501,1.38333,1.33479,1.34373,0.806766,1.1116,NA,1.2118,1.61227,0.590979,1.08016,1.59415,1.97765,1.87419,0.808508,1.30652,1.73615,1.66016,1.2768,1.54683,1.68997,1.60089,1.87012,1.94957
"DNPEP",0.295937,-0.605318,-0.550617,-1.3407,0.458578,0.172373,-0.516701,-0.0709055,-0.168517,-0.56244,0.24193,-1.50481,-0.00275543,-0.372029,-0.510811,-0.413365,-0.429219,-0.653964,-0.0561821,-0.60201,-0.559616,-0.675988,-0.451567,-1.22474,-0.74633,-0.889765,1.20579,0.111634,0.108686,-1.93162,0.273379,-1.3365,0.0701161,-1.51866,0.00338407,-0.175136,0.691931,0.144818
"RPN1",-0.321649,-0.319808,-0.518676,-0.0545032,0.77771,-0.175055,-0.401782,-0.17179,0.0557774,-0.10674,-0.685261,0.926625,-0.237321,-0.312947,-0.747785,-0.0491646,-0.310204,-0.229941,0.417696,-0.310459,-0.587986,-0.532565,-0.875229,-0.565448,-0.220278,-0.233163,-0.70355,0.0348075,-0.603922,-0.696311,-0.595233,-0.409231,-0.278962,0.343332,0.256293,0.418823,-0.431039,0.0268826
"SYTM",-0.385903,-1.55822,-1.17457,-0.433902,-0.460196,-1.25606,-1.3583,-0.0378266,-0.706534,-0.832756,-2.23459,-0.728303,-1.06695,-1.76893,-1.09784,-1.6429,-2.11679,-1.33324,-0.969443,-1.51611,-1.21449,-1.61824,-1.51456,-1.67675,-1.97016,-1.79182,-1.46956,-1.40578,-0.835179,-1.52601,-0.692295,-0.548501,-0.906419,-1.53254,-1.95712,-1.57544,-1.31523,-1.26364
"EPS15",-0.464002,-0.799478,-0.359276,-1.14567,-0.42656,-0.905391,-1.04339,-0.2318,-1.64323,-0.690161,-0.516297,-0.0208319,0.526556,-0.518778,-1.05172,-0.213447,0.0631567,-0.0163277,-0.215341,-0.27818,-1.56818,-1.59662,-0.994841,-1.60136,-1.52839,-1.72254,-1.23727,0.169582,-0.25745,-1.34853,-1.23486,-1.02023,-0.93286,-0.332662,-0.15794,0.105143,0.561569,-0.076859
"KAT1",-2.0842,0.974928,-1.58474,-1.44289,-0.493533,-0.771254,-0.964897,NA,-0.108152,-1.2051,-1.4027,-1.5332,-2.63921,NA,-2.20216,-2.5465,-1.52885,-0.0653857,NA,-1.05831,-0.0148096,-1.07881,0.638515,0.595503,-0.722956,0.653883,0.713009,0.421151,0.676845,1.12703,0.340336,0.697257,-0.413461,-0.760538,NA,NA,-0.116236,0.0994704
"CYC",0.305662,0.465754,0.980484,-0.0891467,1.09309,0.237276,0.758366,-0.559727,-0.646504,-0.306164,1.37693,1.04754,-0.108762,0.0958524,1.88381,0.224501,-0.259296,0.316506,0.223498,1.33381,-0.434328,0.101162,-0.0222356,-0.603211,-0.351643,-0.623198,-0.921321,1.02098,-1.35054,0.727591,0.514528,0.0874463,0.495386,0.0472154,0.648426,0.397373,0.212856,-0.351265
"PLXA2",-2.94956,0.232859,-1.76058,-2.31067,-0.544846,-0.338277,-1.40844,-1.6107,-1.99555,-0.9945,1.21449,-3.23533,-0.129976,-2.09992,0.817445,NA,-2.12675,NA,-2.27044,1.13016,2.61936,2.40976,1.25556,2.58707,3.58348,2.82865,0.223344,1.78274,1.72076,2.80094,1.67215,0.64918,2.50833,-2.22567,NA,NA,-1.50283,NA
"DDX3Y",0.337332,NA,0.408575,0.903694,NA,1.72081,1.91948,0.32928,2.7721,2.48594,NA,1.32284,0.975603,0.0833161,0.0117286,0.558429,0.321719,-0.327432,0.685192,NA,-0.41775,0.148096,-0.511798,-0.607248,-0.154416,-0.20224,0.317995,NA,0.474785,0.0449539,0.0766221,0.545909,2.32449,NA,-1.32735,NA,NA,-0.414108
"IPO8",-0.164063,-0.388797,-0.0875181,-0.24882,-1.51739,-0.803324,-0.501495,-0.880041,-0.385654,-0.23616,-1.18407,0.692369,-1.00952,-0.00618013,-1.28261,-0.396246,-0.710952,-0.24033,-0.683178,-0.646027,-0.948289,-1.66331,-0.862712,-0.51636,-1.44051,-0.559283,-0.555647,-1.01226,-0.900565,-0.955743,-1.3008,-1.46933,-1.5558,-0.858106,-0.0764441,-0.856223,-1.44429,-0.672494
"1433B",-0.161213,0.407071,0.262517,0.043074,-0.283972,0.231799,-0.765008,-0.721565,0.625877,0.34809,0.669152,0.624673,0.514772,0.400227,1.41087,0.567882,0.191507,-0.396515,0.374771,0.797087,0.934719,0.725218,1.07979,0.839002,0.823311,0.908956,0.672097,0.788469,0.893712,1.19447,0.794099,1.00165,0.352141,-0.112599,0.408756,0.127808,0.518322,0.568503
"TPPC3",-0.691971,-0.512003,-0.972533,-0.384426,-0.28001,1.1069,-0.276166,-0.313572,0.0549771,-0.143986,-0.208519,-0.220129,NA,0.0975093,0.141402,-0.946204,-0.578307,-0.430118,-0.754972,0.0494695,-0.618976,0.437018,-0.306684,-0.546471,-0.473719,-0.403316,-0.172406,-0.229665,-0.162001,NA,-0.370052,-0.308105,0.328737,-0.0101548,-0.0404163,-0.0824698,0.0302373,-0.0821179
"COMT",-0.07481,-1.13785,0.0985741,-0.186815,0.634268,-0.45014,0.17022,-0.637686,-0.499437,-0.364014,-0.101331,-0.439829,0.19022,-0.725075,-0.868704,0.243365,-0.772895,-0.587185,0.105458,-0.56062,-0.661911,-0.20387,0.12855,-0.31846,-0.189931,-0.404188,-0.233519,0.214736,-0.234172,-0.978506,-0.155249,-0.520469,-1.03023,-0.00865318,-0.232125,-0.100767,0.778517,0.796592
"WDR4",0.331073,-1.55555,-0.0775954,-2.07999,-1.80367,-1.15231,-0.422187,-0.438609,-1.70189,-1.39367,-2.08071,-0.872712,-2.04705,-1.93427,-2.73546,NA,-2.04876,-0.738824,-2.74312,-1.71396,-3.17684,-3.26401,-3.3919,-2.99157,-2.56903,NA,-2.474,NA,-2.24,-2.75788,NA,-1.83877,NA,-0.439727,0.271989,-0.379062,-0.240139,-0.189088
"2A5G",-0.449364,-0.212321,-0.332075,-0.969768,-0.562047,-0.0740259,-0.203465,-0.409416,-0.864233,-1.14746,0.433367,0.684523,-0.433553,0.211414,0.65483,-0.6402,0.0810865,-0.583625,-0.225921,0.437965,-0.467518,0.752533,-0.282505,0.09176,-0.204318,-0.192716,-0.530013,-0.557749,0.225396,-0.538533,-0.862788,-0.404366,0.459155,-0.801123,-0.872091,NA,-0.42944,-0.0281695
"PSMF1",-1.34561,0.412592,0.064241,-0.09168,-1.37347,0.478929,-0.926888,0.217772,0.28758,0.182111,0.321548,0.464868,0.512589,0.475591,0.25451,1.11056,0.504525,-0.0883239,0.197812,0.336342,0.165793,0.549299,0.505469,0.619746,0.357466,0.656413,0.63353,0.729097,0.503011,-0.232943,0.858252,0.404358,0.418897,0.520962,1.05316,0.759192,0.826949,1.04598
"ANX11",-1.92744,-1.49629,-1.43636,-0.275159,-0.280437,-1.1307,-1.78439,0.652841,-1.1627,-1.11306,0.325952,-1.29992,-0.215959,-1.2261,-2.4244,-0.277431,-1.13164,-0.915648,-0.5283,-1.25646,-1.08676,-2.65736,-1.80314,-2.49586,-1.44779,-1.73265,-0.590913,-1.47879,-2.62409,-1.8758,-1.25033,-2.01086,-1.78684,-0.505458,-1.53112,-1.4371,-1.20536,-1.66378
"ES1",1.31328,1.2793,1.35328,0.917638,2.17841,0.911775,0.626261,1.17839,0.672378,0.775293,1.44553,0.0818528,0.830201,0.965354,1.23527,1.19012,0.903003,1.36231,0.779999,1.38147,0.582933,0.762837,0.930171,0.828196,0.356131,0.381713,0.620742,1.27638,0.694463,0.177798,0.843935,0.769672,0.538671,0.430402,1.02996,0.513519,1.23178,1.12527
"ARFG3",-1.03761,0.426561,-0.737602,0.111142,0.0847988,0.525701,NA,-0.264678,-0.708007,0.739204,1.06671,1.54106,1.37724,0.751737,NA,0.94733,0.549733,1.2159,0.542037,0.848674,0.489372,0.768828,NA,0.869535,1.13612,NA,0.752367,-0.256555,0.439381,NA,-0.573193,0.236359,0.756524,1.28687,1.31199,1.485,0.438611,0.904607
"PPCE",0.780817,1.57477,0.720142,0.738236,0.323233,1.08646,0.457106,0.544801,1.53233,1.08363,1.00973,0.262717,0.670609,1.13089,0.931873,0.650825,0.92422,0.869303,0.88086,1.07212,0.944163,1.68451,1.28628,0.875946,1.41097,0.803532,0.287899,1.08779,1.53284,1.49238,1.33622,0.878587,1.72725,-0.969058,-1.06186,-0.485022,-0.507557,0.135352
"MTNB",0.800691,1.54231,1.45463,0.177825,0.394162,-0.217219,0.509991,0.729806,0.470318,1.1279,0.501099,0.794141,0.818493,0.974255,0.0662547,1.26108,-0.873691,1.63598,1.60074,1.03979,-0.645593,-2.08327,-0.6466,-0.944456,-0.144715,-0.0184184,NA,1.14225,0.0416668,NA,NA,-1.45617,0.118959,-0.907714,NA,NA,0.562237,NA
"RABX5",-0.552706,1.01582,-0.481751,NA,0.342657,-0.328391,0.223552,NA,0.51482,-0.364862,0.560841,1.08745,0.697747,0.825207,1.11828,0.551964,0.895455,0.00136861,0.821788,0.970412,NA,1.26152,0.961922,1.93618,1.04365,NA,NA,1.25767,NA,0.603711,1.35045,0.620068,1.31456,0.155506,NA,0.896952,0.890575,0.596011
"PP1R7",0.466056,0.100575,0.564155,-0.356514,0.401492,1.07435,0.748008,0.242317,0.915416,0.567953,1.18348,0.794487,1.23142,1.07647,1.77249,0.284561,0.98588,0.909347,1.05751,1.21837,1.66165,1.37864,1.79854,1.95262,1.69289,1.61831,1.76839,1.85847,1.71963,1.46861,1.43275,1.80112,1.64542,0.225536,0.86812,0.634826,0.892426,1.15057
"CHD2",-1.6704,0.228715,-0.865175,NA,-0.516083,-0.388375,NA,-0.456019,-0.0463966,-1.1619,NA,-0.259164,-0.944214,-0.0217227,0.0822105,-0.285285,0.399006,-0.0240909,-0.421726,-0.436358,0.171627,-0.0265989,-0.384487,-0.497174,-0.0217859,-0.304418,-0.381703,-0.352931,NA,-0.383471,-0.291785,-0.469759,-0.128427,-0.117672,0.854908,NA,-0.0952721,-0.169849
"HTR5B",-0.242008,0.778205,-0.181918,0.229422,-0.156525,-0.0912122,0.166046,-0.637942,0.242599,-0.063915,0.933542,1.00172,0.423117,0.585344,1.03173,-0.452037,0.76684,0.607384,0.489952,0.523746,0.606561,0.867002,0.767949,0.630686,0.537271,0.474909,0.156173,0.12443,NA,0.638615,0.479858,0.621689,0.403981,-0.367753,0.354673,1.16683,0.135054,0.444091
"SEP11",0.949188,1.12828,1.01106,1.10684,0.972258,1.03944,1.88733,1.01899,1.40101,1.44821,2.06466,1.06137,2.29224,1.94184,2.45689,1.93625,2.03483,1.7223,1.7197,2.23594,1.66356,1.49041,1.91971,1.80281,2.07761,2.03113,1.32792,1.7192,1.16432,2.31876,1.87144,2.03237,1.45768,0.804984,0.933485,1.16977,1.39059,1.41088
"ANO6",-0.929037,-2.38471,-1.55988,-0.463939,-1.03744,-1.29998,-0.944762,-1.04901,NA,-1.12705,-1.33214,-0.489303,1.1965,-0.246464,-1.70955,-0.0386343,0.476526,0.539632,NA,-0.444652,-0.565135,-1.6559,0.28646,-1.06562,-0.984851,-0.781665,NA,-2.47798,NA,-2.94958,-0.39599,-0.953993,NA,-0.624763,NA,-0.49139,-0.780921,-0.92951
"GNAI1",1.78685,1.03212,0.84267,0.534095,0.591792,0.390934,-0.478745,0.74274,1.76057,0.645237,3.05089,0.667127,2.10208,2.46313,2.86306,2.5144,2.74694,2.96957,2.79303,3.9552,2.7355,1.71006,2.75795,2.432,3.24861,2.9993,1.48683,1.98277,2.7216,3.67546,3.64314,3.9619,NA,NA,0.224782,NA,NA,NA
"NUP53",0.15478,-0.810117,0.332716,-0.862819,-0.198073,0.072264,0.173378,0.150888,-0.218408,-0.403205,-0.657892,-0.370278,-0.878336,-0.515807,-0.979404,-0.304815,-0.249606,-0.316818,-0.220117,-0.619794,-0.923005,-0.0920359,-0.999191,-0.695639,-0.908628,-1.01773,0.0210385,-0.0409442,-0.103848,-0.847995,-0.600611,-0.663811,0.206916,-0.288126,-0.290194,-0.789472,-0.00189061,-0.304684
