GeneSymbol;entry_name;MB278;MB282;MB275;MB247;MB091;MB234;MB199;MB136;MB288;Burdenko_1360;MB226;MB118;MB166;MB239;MB102;MB271;MB177;MB037;MB265;MB170;MB244;MB260;MB274;MB264;MB268;MB095;MB227;MB269;MB088;MB281;MB284;MB174;MB277;MB164;x5M15;MB287;MB099;MB266;MB104;MB248;x1M6;MB106;MB270;MB018;MB206
MAP1B; microtubule-associated protein 1B isoform 1 GN=MAP1B;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,782409281;-24,62424701;0,929959203;0,011947501;NaN;NaN;0,714315425;NaN;1,348981519;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
MAP1B; microtubule-associated protein 1B isoform 1 GN=MAP1B;-0,824151862;-1,179828569;0,920225533;-1,04617677;-0,354540015;-0,730021123;0,041248586;-0,863973988;-1,022737395;2,00119411;-0,575964761;-0,115928099;-0,272317765;-0,075467498;0,532492705;-1,346497207;0,610484061;-0,466812079;0,10315741;-8,39514388;0,229161484;-9,902851216;-0,759963418;0,102561207;0,190594737;-1,005946519;0,036561181;0,591205814;-1,270745332;-0,582576187;0,749434177;-0,376832876;-0,029462935;0,589152191;0,126904187;0,810257821;-0,1594855;0,630236841;-0,418832253;0,00143204;-0,135904855;0,050723899;-0,448845165;0,141541958;-0,10042418
MAP1B; microtubule-associated protein 1B isoform 1 GN=MAP1B;0,390744145;-0,244449874;-0,322526891;-0,782927595;-0,71031536;0,625732391;0,792889477;0,114153505;-0,820921262;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
GFAP; glial fibrillary acidic protein isoform 3 GN=GFAP;-0,159141896;0,584876814;0,31356781;0,332812427;0,448425175;-0,488938081;0,194021124;1,887299316;0,769329168;NaN;0,084636871;1,741029273;0,310139676;0,586052286;0,196515165;0,908016105;0,249034467;0,523846224;-1,378891064;-1,022133428;-0,817421376;1,461028071;-1,165958544;-0,997860211;-0,941732174;0,00289481;-1,201476063;1,386518396;-0,941205032;-0,271688663;-0,570221657;-0,643422092;-0,399854116;-0,28572617;-0,304769899;-1,106773082;-1,11529096;-0,784362557;-0,4388608;-1,071165792;-0,554245724;-1,240679141;-0,551578119;0,473732268;0,199349491
GFAP; glial fibrillary acidic protein isoform 3 GN=GFAP;-0,243114641;2,721824739;-2,462467213;-1,024353004;1,038913423;-1,39367669;-1,813410037;3,352172718;-1,535623506;-0,43096733;-2,07251826;2,463999056;-2,012125705;-3,197935209;-2,955334512;-2,119118298;-2,217643861;-3,46234457;-2,207812739;-1,708887655;-1,403318778;2,128884495;-3,344582278;-2,531451902;-3,238066623;-0,428431899;-2,358826563;0,802350747;-1,915601173;-2,1289037;-2,161411612;0,975155288;-2,270750482;-3,192294597;-1,014234253;-3,624437463;-2,495283549;-2,068489196;-2,601943829;-1,727040034;-1,652670144;-2,181127639;-0,955171864;0,196425574;-0,298274803
GFAP; glial fibrillary acidic protein isoform 3 GN=GFAP;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-3,34667708;NaN;-2,541678594;-1,770920435;-0,407294206;-0,095927575
GFAP; glial fibrillary acidic protein isoform 3 GN=GFAP;-2,366812454;4,454714521;1,478248249;-1,208491027;2,468191461;-0,154401499;NaN;4,275831026;1,406643271;-2,725618695;-16,42606357;3,387208283;-2,986670298;NaN;-14,90092086;-5,149979169;-4,174420083;NaN;-2,379945223;-4,865397771;-4,15443783;3,177109479;-9,284932025;-3,173364396;-1,505851718;-2,74717481;-6,055288071;1,153085942;-4,92176737;-4,997179034;NaN;0,202447449;-8,790477074;-5,279612768;-5,337969833;-7,46392995;NaN;-12,44145512;NaN;-4,500901183;NaN;-3,853645376;-2,872853661;-1,445750001;-1,080684084
GFAP; glial fibrillary acidic protein isoform 3 GN=GFAP;-3,409699773;3,479036064;-2,1693773;-1,94504312;1,644225643;-1,950334726;-3,713900422;3,848189977;-3,034829064;-1,694677239;-0,451830683;3,326082558;-3,131654293;0,1332473;-6,085630913;-3,492942939;-3,649457578;-2,275786377;-2,520336965;NaN;-4,80412245;2,121513012;-10,14058766;-3,14561254;-4,018840775;-2,592302468;-6,417117693;1,01349568;-13,65339994;-4,893099297;-17,08384083;0,772707839;-12,0840123;-4,761259982;-3,919041124;-3,376798343;NaN;-2,887949688;NaN;-5,822673945;-5,025123942;-7,601730206;-3,336374963;-0,437624626;-0,566572238
GFAP; glial fibrillary acidic protein isoform 3 GN=GFAP;-0,645371178;1,792809165;-1,683027227;-0,327356486;1,782582721;0,593226813;0,305545078;2,593080884;0,223059936;0,133669012;-0,72093253;2,013987252;0,48412047;-0,77354185;-0,587009815;-0,031053902;-0,938585626;-0,413497552;-1,453359727;0,282059772;-0,600072339;2,263045499;-1,077698734;-1,501013425;-1,692869611;-1,926496139;-0,814431833;1,431093437;-0,137506025;-2,176212671;-0,607150297;0,392868318;-1,563640045;-1,614479287;-0,699471899;-1,24362628;-2,354626198;-0,769102585;-0,187914893;-0,617209166;-0,619122115;-0,948673995;-0,765605105;0,090991259;-0,602545078
ACTA1; actin, alpha skeletal muscle GN=ACTA1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,276884548;0,711877691;-0,150214099;-0,697403397;0,02181189;-0,741665652;0,232372156;0,220978771;0,541091476
ACTG1; actin, cytoplasmic 2 GN=ACTG1;NaN;-0,752438984;-0,958621592;0,616521382;-0,378011305;-1,239275191;-0,111523953;-2,84456627;-0,98783686;-0,667576845;-1,21399656;-0,583856064;0,042864833;-1,24403453;-0,640259086;-0,007452937;-0,002689357;-1,11030602;1,404527817;0,581714955;-0,193724141;0,598564477;1,098137848;1,415344653;0,924358927;0,700544051;0,792999416;0,627569663;1,151020259;0,35954818;0,792879637;-0,199440804;-0,635557596;0,503181485;0,49162882;0,298687534;0,406466517;0,157177711;0,173777095;-0,067305872;0,282436015;-0,356438206;0,413377836;-0,30185989;0,960774615
ACTG1; actin, cytoplasmic 2 GN=ACTG1;-0,289164211;-0,531850811;-0,669371285;-1,243954646;-0,626312848;0,731375522;-0,644700114;-0,117630261;0,393010364;0,344927507;-0,440545766;0,623903953;0,281142877;1,339548082;1,503657971;1,130362046;1,039705453;0,515167115;0,141002141;-0,108238438;0,348467205;-0,44818621;0,304728608;-0,061536724;0,123145661;0,358956456;-0,465209514;0,182992276;-0,239450147;0,893463711;0,48550301;-0,2124696;0,143105684;0,469046058;0,185859676;-0,084718646;0,920364238;-0,527995029;1,010263452;0,857791858;0,378632043;0,818436958;0,247048293;0,675935065;0,963772352
ACTG1; actin, cytoplasmic 2 GN=ACTG1;0,560044034;-16,72068956;1,356660731;1,429456655;-0,702903374;NaN;NaN;0,021439998;0,34141827;0,896504233;0,957047699;NaN;-0,047907755;-0,216969055;0,251032275;-0,18756557;NaN;NaN;2,096720144;0,282059772;0,361460897;0,961241476;NaN;-0,048264097;NaN;1,108712278;NaN;-0,356600332;-0,122095867;0,232489801;0,121647287;-0,672486329;0,19466582;-0,308483121;-0,150886081;-0,653854166;0,561521864;-11,6906645;0,173777095;-1,356141718;0,194069895;-0,127495205;0,046474431;0,138653347;0,430175218
ACTG1; actin, cytoplasmic 2 GN=ACTG1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,868309943;1,732769813;0,713369703;-1,245874651;0,545297256;-1,268097464;1,644950266;0,209424326;1,788149947
ACTG1; actin, cytoplasmic 2 GN=ACTG1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2,051550627;1,940293971;1,306456707;2,061066845;1,636987215;1,466021955;1,032686231;1,217267658;1,664164117;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
ACTG1; actin, cytoplasmic 2 GN=ACTG1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0,426981976;-0,48008569;1,159745635;0,971006021;NaN;0,82811892;0,93682784;0,458653716;0,045617733;0,089710594;0,122842774;-0,248000533;-0,224830253;-0,213085389;-0,302972475;0,013453125;0,062105145;0,226329122
ACTG1; actin, cytoplasmic 2 GN=ACTG1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,901113509;-0,333773098;-1,148742075;-1,718375524;-0,900893252;-1,499854452;-1,527851997;-0,169429497;0,342824807;-1,090782794;-0,272462275;-1,012326762;-1,786847651;0,111486076;-0,141172485;-0,231472965;0,086844304;-1,657860465;0,157185673;0,821479958;2,397888993;1,378307204;-0,307680034;1,856164898;1,737113971;-0,1578808;0,964489202;0,087495517;-0,390655282;NaN;0,193325377;0,272368988;-0,973350486;-0,865892036;-0,987905095;1,199094684
ACTG1; actin, cytoplasmic 2 GN=ACTG1;-0,100902734;0,375954362;0,112628438;-0,100934916;0,610253544;0,316929393;1,073990949;0,451398885;-0,182089744;1,048610349;0,57422862;0,945340955;0,663144186;-0,189847924;1,073860288;5,884093421;-0,044643328;-0,151884408;-0,888130367;0,624370498;0,743002956;0,274219194;-0,035303924;-1,295891012;0,157892155;-0,011579241;-0,631625926;-0,164223837;0,11735428;0,520398682;0,849358734;-0,584291401;0,219919764;-0,370432601;0,423680122;0,130336379;0,265809166;-0,059513891;-0,161995597;-0,08162627;-0,171698726;-0,444176842;-0,341220167;-0,181982518;-0,61903263
TUBA1C; tubulin alpha-1C chain isoform a GN=TUBA1C;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,791687344;NaN;NaN;NaN;-9,537633797;0,556243721;0,468566687;NaN;2,203756724;0,88680872;0,214556815;1,505776966;1,088308762;-0,012026581;0,166255133;-0,202284014;NaN;1,237109461;-0,580350013;-0,790466546;0,493055691;-0,243446771;0,452456903;-0,223459337;1,362434644;0,706265485;1,422426068
TUBA1B; tubulin alpha-1B chain GN=TUBA1B;0,90270701;0,539274452;0,728245241;-0,467846978;0,751081285;-0,425281322;1,610222561;-0,670434544;0,057661752;-1,293670204;-0,727009023;0,578586605;-0,300053833;-2,108373213;0,361334335;-0,683185852;0,125324041;-0,728425223;1,558348334;-0,515598865;-1,354887743;1,528845721;0,118918481;2,019852471;0,974434756;0,483433291;0,156330569;-0,086804028;-0,167140944;-0,539322271;0,091235465;-0,567253744;-0,321987788;-0,159298661;-0,581560922;0,198762977;0,509467569;0,188460653;-1,667671039;-1,032500717;1,220906574;-0,219346588;0,710569594;-1,286876374;-0,481136742
TUBA1B; tubulin alpha-1B chain GN=TUBA1B;-0,430021719;-0,382317482;-0,541384424;-0,638345147;0,716492016;-0,386003748;0,672199171;-0,230045388;-1,142613143;-1,348213306;0,750446926;0,717700324;0,045386294;-0,380875027;-0,659276682;0,100614644;0,736345973;-0,384980479;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,261585112;0,894974558;0,524453737;-2,07234842;0,579280325;-0,530332828;-1,445066426;0,571568466;0,638648255;0,416434361;1,050649068;-1,031470148;-0,902185092;-0,022930449;-0,016450994;0,599275561;-0,304748502;1,27553697
TUBA1B; tubulin alpha-1B chain GN=TUBA1B;-1,632728134;-1,71433068;0,668091416;-2,145548968;0,02347129;-0,089390342;-0,377348171;-0,574244281;-0,254925641;-0,869616788;0,198354104;-0,456335154;-1,118267857;-0,097871911;-0,547706782;-2,008566405;-0,444819664;-0,511447497;0,370512119;NaN;-2,188846545;-1,553908766;-1,001516582;0,371633549;0,045477028;-1,486485;-2,76856394;0,049267151;-0,404220297;-0,884001917;1,081791943;0,3187044;0,642923329;-1,601836537;-1,395946061;0,843928052;0,428617281;1,4138364;-0,14432335;-0,227694333;1,189586936;-0,833517036;0,572369312;-0,225311688;0,01798642
TUBA1B; tubulin alpha-1B chain GN=TUBA1B;0,675167959;-0,933787915;0,874150263;-0,907050263;1,494750584;-1,457333448;0,475122596;-0,481530774;-1,720748079;-0,507788601;0,654091103;-0,797796101;-1,485140401;-2,697963038;-1,446605182;-2,125329078;0,858980656;-0,874730204;0,875922389;-0,420690284;-1,996303649;0,508632376;-0,878881899;1,94986953;0,887568522;0,199741899;-0,336615015;-1,697370659;-2,267664012;-1,001598503;0,657112576;-1,065354647;-1,028045978;-0,513295686;-1,160124106;0,523517788;0,493962034;1,260473682;-1,626435796;-0,16611662;0,922251461;-0,039756569;0,391363632;-0,482398102;-0,836368542
TUBA1B; tubulin alpha-1B chain GN=TUBA1B;NaN;5,197078564;0,464592307;12,43818248;5,571343087;7,470865521;7,285722383;0,497755638;0,338383441;-0,765139859;0,016059304;-0,374131593;-0,494206313;0,386770925;0,106498541;-1,510461811;-0,189868611;-1,276448965;0,217912399;-1,572389921;-0,952083279;-0,066343353;-0,858442785;0,857894329;0,067960054;-0,22579519;0,179023716;0,945460091;0,584400605;0,398747042;0,702730308;0,313693325;0,191509077;0,178262787;0,160878537;1,64549678;-0,166130729;0,051883905;0,596732873;-0,449660506;0,128074945;-0,249506744;-0,077049715;-0,209424326;0,470644663
TUBA1B; tubulin alpha-1B chain GN=TUBA1B;-0,394807342;0,309141598;0,642494044;-1,04617677;0,573193612;0,631149988;0,979271975;-0,163987015;0,162363355;-0,905722785;-0,727009023;0,301413058;-0,533288956;-0,917401767;-0,902701919;0,120489141;-0,044643328;-0,69990815;1,090782794;-0,397229736;-0,691028186;0,406905901;-0,076182152;0,820489654;0,136431085;-0,151977532;0,524463843;0,533727471;0,674490759;0,609609885;0,216141161;0,439972427;-0,82811892;-0,342618549;-0,294777443;0,531120743;-0,063129677;0,700432712;-0,855925828;-0,830583101;-0,307044301;-0,176848187;0,573592323;-0,264307942;0,950282537
TUBA1B; tubulin alpha-1B chain GN=TUBA1B;0,073814752;0,720623382;-0,066553168;-1,353073475;0,550957653;-1,915120349;0,618728783;0,358685378;-2,36716667;-0,43941767;0,018663515;0,196023877;-0,706009019;-1,021169576;-0,604759572;-0,085708771;0,183414154;-0,384980479;0,53287822;-0,719279079;-1,81793569;-0,19018428;-0,274998987;0,895299005;-0,20183625;-0,312639494;0,313921867;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,421972051;1,64731397;-0,667421861;0,526990657;-1,40658728;-0,083625887;0,749705957;0,261419331;1,42992041
TUBA3E; tubulin alpha-3E chain GN=TUBA3E;0,85665744;0,0079539;0,839593811;-0,591969645;-0,516368384;0,639276382;0,571369296;-1,361150167;-0,009104487;1,401219983;0,435337343;0,05796405;0,008825113;0,627323573;2,102078344;0,701818194;0,614787032;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
TUBA3E; tubulin alpha-3E chain GN=TUBA3E;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,07974275;-0,524180036;-1,13868178;-0,874976336;1,200772521;0,30845614;-0,128416192;-1,0399001;-0,226329122
PIK3R3; phosphatidylinositol 3-kinase regulatory subunit gamma isoform 2 GN=PIK3R3;0,917605401;-0,312323158;-0,303328861;0,80202339;0,022235959;1,353044716;0,56984157;-0,181370797;0,25796047;0,541589961;0,295577997;-0,55856266;-0,461427323;0,025941952;1,757225926;NaN;-0,157596326;0,557322787;0,779479366;-1,7792693;-1,031226678;-1,458079478;0,697717025;0,832555678;1,219704123;-3,871808544;-1,206518985;2,344881788;1,961831647;0,120299955;1,820364755;2,205875426;-0,219919764;1,391966872;1,448906076;-0,132508652;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
PIK3R3; phosphatidylinositol 3-kinase regulatory subunit gamma isoform 2 GN=PIK3R3;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0,192376495;-0,341394268;-0,294667306;0,827636004;-0,434961352;NaN;-0,28825472;0,502620522;-0,990556478;-1,476348411;-1,37034548;0,759317545;-1,833010981;0,030760358;-0,353696374;-1,256032656;-2,804841659;0,184360808
PIK3R3; phosphatidylinositol 3-kinase regulatory subunit gamma isoform 2 GN=PIK3R3;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,458520812;0,096137823;-2,676167267;-3,043084637;0,486013657;-1,727354384;-0,798626411;-2,175124376;-0,535096003
