D00043	Isoflurophate
D00414	Zileuton (USP/INN) &lt;US&gt;
D00415	Zolmitriptan (JAN/USP/INN) &lt;JP/US&gt;
D00417	Milrinone (JAN/USP/INN) &lt;JP&gt;
D00418	Minoxidil (JAN/USP/INN) &lt;US&gt;
D00419	Misoprostol (JAN/USP/INN) &lt;JP/US&gt;
D00420	Mitotane (JAN/USP/INN) &lt;JP/US&gt;
D00421	Ramipril (USP/INN) &lt;US&gt;
D00422	Ranitidine (USAN/INN)
D00425	Nabumetone (JP17/USP/INN) &lt;JP/US&gt;
D00426	Risperidone (JP17/USP/INN) &lt;JP/US&gt;
D00428	Salsalate (USP/INN)
D00430	Secobarbital (USP/INN)
D00431	Metolazone (JAN/USP/INN) &lt;US&gt;
D00432	Nadolol (JP17/USP/INN) &lt;JP/US&gt;
D00434	Simvastatin (JP17/USP/INN) &lt;JP/US&gt;
D00437	Nifedipine (JP17/USP/INN) &lt;JP/US&gt;
D00438	Nimodipine (USP/INN) &lt;US&gt;
D00440	Nizatidine (JP17/USP/INN) &lt;JP/US&gt;
D00442	Octreotide (USAN/INN)
D00443	Spironolactone (JP17/USP/INN) &lt;JP/US&gt;
D00444	Stanozolol (JAN/USP/INN)
D00451	Sumatriptan (JAN/USP/INN) &lt;JP/US&gt;
D00454	Olanzapine (JAN/USP/INN) &lt;JP/US&gt;
D00455	Omeprazole (JP17/USP/INN) &lt;JP/US&gt;
D00456	Ondansetron (JAN/USP/INN) &lt;US&gt;
D00457	Quazepam (JAN/USP/INN) &lt;JP/US&gt;
D00458	Quetiapine fumarate (JP17/USP) &lt;JP/US&gt;
D00459	Quinapril hydrochloride (JP17/USP) &lt;JP/US&gt;
D00461	Quinethazone (JAN/INN)
D00462	Oxandrolone (JAN/USP/INN) &lt;US&gt;
D00463	Oxaprozin (JP17/USP/INN) &lt;JP/US&gt;
D00464	Oxazepam (JAN/USP/INN) &lt;US&gt;
D00465	Oxybutynin (USAN/INN) &lt;US&gt;
D00469	Pralidoxime chloride (USP) &lt;US&gt;
D00470	Prazepam (JP17/USAN/INN)
D00472	Prednisolone (JP17/USP/INN) &lt;JP/US&gt;
D00473	Prednisone (USP) &lt;US&gt;
D00477	Procainamide hydrochloride (JP17/USP) &lt;JP/US&gt;
D00479	Prochlorperazine maleate (JP17/USP) &lt;JP/US&gt;
D00480	Promethazine hydrochloride (JP17/USP) &lt;JP/US&gt;
D00481	Propantheline bromide (JP17/USP/INN) &lt;JP/US&gt;
D00482	Propoxyphene hydrochloride (USAN) &lt;US&gt;
D00483	Propranolol hydrochloride (JP17/USP) &lt;JP/US&gt;
D00484	Protriptyline hydrochloride (USP) &lt;US&gt;
D00485	Pseudoephedrine hydrochloride (USP)
D00487	Pyridostigmine bromide (JP17/USP/INN) &lt;JP/US&gt;
D00490	Oxymetholone (JP17/USP/INN) &lt;US&gt;
D00491	Paclitaxel (JAN/USP/INN) &lt;JP/US&gt;
D00492	Pancuronium bromide (JP17/USP/INN) &lt;US&gt;
D00493	Prochlorperazine (JAN/USP/INN) &lt;US&gt;
D00494	Promethazine (JAN/INN)
D00495	Paramethadione (INN)
D00498	Pentazocine (JP17/USP/INN) &lt;JP&gt;
D00499	Pentobarbital (USP/INN)
D00500	Pentobarbital sodium (JAN/USP) &lt;US&gt;
D00502	Pergolide mesylate (USP) &lt;JP&gt;
D00503	Perphenazine (JP17/USP/INN) &lt;JP/US&gt;
D00505	Phenelzine sulfate (USP) &lt;US&gt;
D00506	Phenobarbital (JP17/USP/INN) &lt;JP&gt;
D00507	Phenoxybenzamine hydrochloride (USP) &lt;US&gt;
D00509	Phentolamine mesylate (USP) &lt;JP/US&gt;
D00510	Phenylbutazone (JP17/USP/INN)
D00511	Phenylephrine hydrochloride (JP17/USP) &lt;JP/US&gt;
D00512	Phenytoin (JP17/USP/INN) &lt;JP/US&gt;
D00513	Pindolol (JP17/USP/INN) &lt;JP/US&gt;
D00514	Dexmedetomidine (USAN/INN)
D00517	Amyl nitrite (JP17/USP) &lt;JP&gt;
D00518	Dichlorphenamide (USP) &lt;US&gt;
D00519	Chlorothiazide (JAN/USP/INN) &lt;US&gt;
D00520	Dimenhydrinate (JP17/USP/INN) &lt;JP/US&gt;
D00521	Terfenadine (JAN/USAN/INN)
D00522	Candesartan (USAN/INN)
D00523	Irbesartan (JP17/USP/INN) &lt;JP/US&gt;
D00524	Carbachol (JAN/USP/INN) &lt;US&gt;
D00525	Pilocarpine (JAN/USP)
D00528	Caffeine (USP) &lt;JP&gt;
D00529	Montelukast sodium (JP17/USP) &lt;JP/US&gt;
D00530	Zaleplon (JAN/USP/INN) &lt;US&gt;
D00531	Nitrazepam (JP17/USAN/INN) &lt;JP&gt;
D00532	Glutethimide (JAN/INN)
D00533	Oxcarbazepine (JAN/USP/INN) &lt;US&gt;
D00535	Vigabatrin (JAN/USP/INN) &lt;JP/US&gt;
D00536	Felbamate (USPINN) &lt;US&gt;
D00537	Topiramate (JAN/USP/INN) &lt;JP/US&gt;
D00538	Zonisamide (JP17/USP/INN) &lt;JP/US&gt;
D00539	Ethosuximide (JP17/USP/INN) &lt;JP/US&gt;
D00540	Glycopyrrolate (USP) &lt;JP/US&gt;
D00548	Etomidate (USP/INN) &lt;US&gt;
D00549	Propofol (JAN/USP/INN) &lt;JP/US&gt;
D00550	Midazolam (JAN/USP/INN) &lt;JP/US&gt;
D00551	Tetracaine (USP/INN)
D00552	Benzocaine (USP/INN) &lt;JP&gt;
D00553	Prilocaine (USP/INN)
D00554	Ethinyl estradiol (USP) &lt;JP&gt;
D00555	Amobarbital (JP17/INN) &lt;JP&gt;
D00558	Carbidopa (USP) &lt;US&gt;
D00559	Pramipexole dihydrochloride (USP) &lt;JP/US&gt;
D00560	Pimozide (JP17/USP/INN) &lt;JP/US&gt;
D00561	Sertindole (USAN/INN)
D00562	Propylthiouracil (JP17/USP/INN) &lt;JP/US&gt;
D00563	Mirtazapine (JAN/USP/INN) &lt;JP/US&gt;
D00564	Warfarin sodium (USP) &lt;US&gt;
D00565	Fenofibrate (JAN/USP/INN) &lt;JP/US&gt;
D00566	Sodium salicylate (JP17/USP) &lt;JP&gt;
D00567	Celecoxib (JAN/USP/INN) &lt;JP/US&gt;
D00568	Rofecoxib (JAN/USAN/INN)
D00570	Colchicine (JP17/USP) &lt;JP/US&gt;
D00573	Goserelin acetate (JAN/USP) &lt;JP/US&gt;
D00574	Aminoglutethimide (USP/INN)
D00575	Mestranol (JP17/USP/INN)
D00576	Quinestrol (USAN/INN)
D00577	Diethylstilbestrol (USP/INN)
D00584	Fluorouracil (JP17/USP/INN) &lt;JP/US&gt;
D00585	Mifepristone (JAN/USAN/INN) &lt;US&gt;
D00586	Flutamide (JP17/USP/INN) &lt;JP/US&gt;
D00593	Glimepiride (JP17/USP/INN) &lt;JP/US&gt;
D00594	Repaglinide (JAN/USP/INN) &lt;JP/US&gt;
D00595	Buformin (USAN/INN)
D00596	Rosiglitazone maleate (JAN/USP) &lt;US&gt;
D00597	Acebutolol hydrochloride (JP17/USP) &lt;JP/US&gt;
D00598	Betaxolol hydrochloride (JP17/USP) &lt;JP/US&gt;
D00599	Carteolol hydrochloride (JP17/USP) &lt;JP/US&gt;
D00600	Labetalol hydrochloride (JP17/USP) &lt;JP/US&gt;
D00601	Metoprolol tartrate (JP17/USP) &lt;JP/US&gt;
D00602	Penbutolol sulfate (JP17/USP)
D00603	Timolol maleate (JP17/USP) &lt;JP/US&gt;
D00604	Clonidine hydrochloride (JP17/USP) &lt;JP/US&gt;
D00605	Guanabenz acetate (JP17/USP) &lt;JP&gt;
D00606	Guanfacine hydrochloride (JAN/USP) &lt;JP/US&gt;
D00607	Guanadrel sulfate (USAN)
D00608	Doxazosin mesylate (USP) &lt;JP/US&gt;
D00609	Prazosin hydrochloride (JP17/USP) &lt;JP/US&gt;
D00610	Terazosin hydrochloride (USP) &lt;JP/US&gt;
D00611	Mecamylamine hydrochloride (USP) &lt;US&gt;
D00612	Trimetaphan camsilate (JAN/INN)
D00613	Fenoldopam mesylate (USP) &lt;US&gt;
D00615	Amlodipine besylate (USP) &lt;JP/US&gt;
D00616	Diltiazem hydrochloride (JP17/USP) &lt;JP/US&gt;
D00617	Nicardipine hydrochloride (JP17/USAN) &lt;JP/US&gt;
D00618	Nisoldipine (JAN/USAN/INN) &lt;JP/US&gt;
D00619	Verapamil hydrochloride (JP17/USP) &lt;JP/US&gt;
D00620	Benazepril hydrochloride (JAN/USP) &lt;JP/US&gt;
D00621	Enalapril maleate (JP17/USP) &lt;JP/US&gt;
D00622	Fosinopril sodium (USP) &lt;US&gt;
D00623	Moexipril hydrochloride (USP) &lt;US&gt;
D00624	Perindopril erbumine (JAN/USP) &lt;JP/US&gt;
D00625	Miglitol (JP17/USAN/INN) &lt;JP/US&gt;
D00626	Candesartan cilexetil (JP17/USP) &lt;JP/US&gt;
D00627	Telmisartan (JP17/USP/INN) &lt;JP/US&gt;
D00628	Secalciferol (JAN/USAN/INN)
D00629	Nitrendipine (JP17/USAN/INN) &lt;JP&gt;
D00631	Bepridil hydrochloride (USAN) &lt;JP&gt;
D00632	Dobutamine hydrochloride (JP17/USP) &lt;JP/US&gt;
D00633	Dopamine hydrochloride (JP17/USP) &lt;JP/US&gt;
D00634	Bisoprolol fumarate (JP17/USP) &lt;JP/US&gt;
D00635	Metoprolol succinate (USP) &lt;US&gt;
D00636	Amiodarone hydrochloride (JP17/USP) &lt;JP/US&gt;
D00637	Disopyramide phosphate (JAN/USP) &lt;JP/US&gt;
D00638	Flecainide acetate (JP17/USP) &lt;JP/US&gt;
D00639	Mexiletine hydrochloride (JP17/USP) &lt;JP/US&gt;
D00640	Propafenone hydrochloride (JP17/USP) &lt;JP/US&gt;
D00642	Quinidine gluconate (USP) &lt;US&gt;
D00643	Quinidine polygalacturonate
D00644	Esmolol hydrochloride (JAN/USP) &lt;JP/US&gt;
D00645	Bretylium tosylate (USP) &lt;US&gt;
D00646	Tolterodine (USAN/INN)
D00647	Dofetilide (JAN/USP/INN) &lt;US&gt;
D00648	Ibutilide fumarate (USP) &lt;US&gt;
D00649	Amiloride hydrochloride (USP) &lt;US&gt;
D00650	Bendroflumethiazide (JAN/USP/INN)
D00651	Benzthiazide (JAN/INN)
D00652	Brinzolamide (JAN/USP/INN) &lt;JP/US&gt;
D00653	Dorzolamide hydrochloride (JP17/USP) &lt;JP/US&gt;
D00654	Hydroflumethiazide (JAN/USP/INN)
D00655	Methazolamide (JAN/USP/INN) &lt;US&gt;
D00656	Methyclothiazide (JAN/USP/INN)
D00657	Polythiazide (JAN/USAN/INN)
D00658	Trichlormethiazide (JP17/USP/INN) &lt;JP&gt;
D00659	Azelastine hydrochloride (JP17/USP) &lt;JP/US&gt;
D00661	Cevimeline hydrochloride (USAN) &lt;JP/US&gt;
D00662	Azatadine maleate (USP)
D00663	Brompheniramine maleate (USP)
D00664	Cetirizine hydrochloride (JP17/USP) &lt;JP/US&gt;
D00665	Chlorpheniramine maleate (JP17/USP) &lt;JP&gt;
D00666	Clemastine fumarate (JP17/USP) &lt;JP/US&gt;
D00667	Demecarium bromide (USP/INN)
D00668	Dexchlorpheniramine maleate (USP) &lt;JP/US&gt;
D00669	Diphenhydramine hydrochloride (JP17/USP) &lt;JP/US&gt;
D00670	Donepezil hydrochloride (JP17/USP) &lt;JP/US&gt;
D00671	Fexofenadine hydrochloride (JP17/USP) &lt;JP/US&gt;
D00672	Hydroxyzine hydrochloride (JP17/USP) &lt;JP/US&gt;
D00673	Ranitidine hydrochloride (JP17/USP) &lt;JP/US&gt;
D00674	Naratriptan hydrochloride (JAN/USP) &lt;JP/US&gt;
D00675	Rizatriptan benzoate (JAN/USP) &lt;JP/US&gt;
D00676	Sumatriptan succinate (JAN/USP) &lt;JP/US&gt;
D00677	Granisetron hydrochloride (JAN/USP) &lt;JP/US&gt;
D00678	Ondansetron hydrochloride hydrate (JAN/USP) &lt;JP/US&gt;
D00679	Ergotamine tartrate (JP17/USP) &lt;US&gt;
D00680	Methylergonovine maleate (USP) &lt;JP/US&gt;
D00681	Methysergide maleate (USP)
D00682	Carboprost tromethamine (USP) &lt;US&gt;
D00683	Albuterol sulfate (USP) &lt;JP/US&gt;
D00684	Bitolterol mesylate (USAN)
D00685	Metaproterenol sulfate (USP) &lt;US&gt;
D00686	Pirbuterol acetate (USAN)
D00687	Salmeterol xinafoate (JAN/USP) &lt;JP/US&gt;
D00688	Terbutaline sulfate (JP17/USP) &lt;JP/US&gt;
D00689	Beclomethasone dipropionate (USP) &lt;JP/US&gt;
D00690	Mometasone furoate (JAN/USP) &lt;JP/US&gt;
D00691	Dyphylline (USP) &lt;JP&gt;
D00693	Chlordiazepoxide hydrochloride (JAN/USP) &lt;US&gt;
D00694	Clorazepate dipotassium (JP17/USP) &lt;JP/US&gt;
D00695	Flurazepam hydrochloride (USP) &lt;US&gt;
D00696	Midazolam hydrochloride (USAN) &lt;US&gt;
D00697	Flumazenil (JAN/USP/INN) &lt;JP/US&gt;
D00698	Aprobarbital (INN)
D00699	Butabarbital sodium (USP)
D00700	Mephobarbital (JAN/USP)
D00701	Phenobarbital sodium (JAN/USP/INN) &lt;JP&gt;
D00702	Buspirone hydrochloride (USP) &lt;US&gt;
D00706	Zolpidem tartrate (JP17/USP) &lt;JP/US&gt;
D00707	Fomepizole (JAN/USAN/INN) &lt;JP/US&gt;
D00709	Levetiracetam (JAN/USP/INN) &lt;JP/US&gt;
D00710	Valproate sodium (USAN) &lt;JP/US&gt;
D00711	Ketamine hydrochloride (JP17/USP) &lt;JP/US&gt;
D00712	Methohexital sodium (USP) &lt;US&gt;
D00713	Thiamylal sodium (JP17) &lt;JP&gt;
D00714	Thiopental sodium (JP17/USP/INN) &lt;JP&gt;
D00715	Methscopolamine bromide (USP) &lt;US&gt;
D00716	Clidinium bromide (USP/INN)
D00717	Dicyclomine hydrochloride (JAN/USP) &lt;US&gt;
D00718	Flavoxate hydrochloride (JP17/USP) &lt;JP/US&gt;
D00719	Hyoscyamine sulfate (USP)
D00720	Mepenzolate bromide (JP17/INN) &lt;JP&gt;
D00721	Methanthelinium bromide (INN)
D00722	Oxybutynin chloride (USP) &lt;JP/US&gt;
D00723	Tridihexethyl chloride (BAN)
D00724	Rabeprazole sodium (JP17/USP) &lt;JP/US&gt;
D00725	Dolasetron mesylate (USP) &lt;US&gt;
D00726	Metoclopramide (JP17/INN) &lt;JP&gt;
D00729	Loperamide hydrochloride (JAN/USP) &lt;JP/US&gt;
D00730	Butamben (USP)
D00732	Chloroprocaine hydrochloride (USP) &lt;US&gt;
D00733	Dibucaine (USP)
D00734	Ursodiol (USP) &lt;JP/US&gt;
D00737	Etidocaine hydrochloride
D00738	Mepivacaine hydrochloride (JP17/USP) &lt;JP/US&gt;
D00739	Pramoxine hydrochloride (USP)
D00740	Procaine hydrochloride (JP17/USP) &lt;JP&gt;
D00741	Tetracaine hydrochloride (JP17/USP) &lt;JP/US&gt;
D00742	Etanercept (USAN/INN) &lt;JP/US&gt;
D00743	Naphazoline hydrochloride (JP17/USP) &lt;US&gt;
D00745	Interferon alfa-2a (USAN/INN)
D00746	Interferon beta-1b (USAN/INN) &lt;JP/US&gt;
D00747	Interferon gamma-1b (USAN/INN) &lt;US&gt;
D00748	Aldesleukin (USAN/INN) &lt;US&gt;
D00749	Leflunomide (JAN/USP/INN) &lt;JP/US&gt;
D00751	Methylprednisolone sodium succinate (JAN/USP) &lt;JP/US&gt;
D00752	Mycophenolate mofetil (JAN/USP) &lt;JP/US&gt;
D00753	Sirolimus (JAN/USAN/INN) &lt;JP/US&gt;
D00754	Thalidomide (JAN/USP/INN) &lt;JP/US&gt;
D00756	Tetrahydrozoline nitrate (JAN)
D00757	Xylometazoline hydrochloride (USP)
D00758	Atracurium besylate (USP) &lt;US&gt;
D00759	Cisatracurium besylate (USP) &lt;US&gt;
D00760	Doxacurium chloride (USAN/INN)
D00761	Metocurine iodide (USAN)
D00762	Metyrosine (USP) &lt;JP/US&gt;
D00763	Mivacurium chloride (USAN/INN)
D00764	Pipecuronium bromide (JAN/USAN/INN)
D00765	Rocuronium bromide (JAN/USP/INN) &lt;JP/US&gt;
D00766	Succinylcholine chloride (USP) &lt;US&gt;
D00767	Vecuronium bromide (JAN/USP/INN) &lt;JP/US&gt;
D00769	Clopidogrel bisulfate (USP) &lt;JP/US&gt;
D00774	Orphenadrine citrate (USP) &lt;US&gt;
D00775	Riluzole (JAN/USP/INN) &lt;JP/US&gt;
D00776	Tizanidine hydrochloride (JP17/USP) &lt;JP/US&gt;
D00777	Amantadine hydrochloride (JP17/USP) &lt;JP/US&gt;
D00778	Benztropine mesylate (USP) &lt;US&gt;
D00779	Biperiden (JAN/USP/INN)
D00780	Bromocriptine mesylate (USP) &lt;JP/US&gt;
D00781	Entacapone (JP17/USP/INN) &lt;JP/US&gt;
D00782	Procyclidine hydrochloride (USP)
D00783	Botulinum toxin type A (JAN) &lt;JP/US&gt;
D00784	Ropinirole hydrochloride (JAN/USP) &lt;JP/US&gt;
D00785	Selegiline hydrochloride (JAN/USP) &lt;JP/US&gt;
D00786	Tolcapone (JAN/USP/INN) &lt;US&gt;
D00787	Trihexyphenidyl hydrochloride (JP17/USP) &lt;JP/US&gt;
D00788	Acetophenazine maleate (USAN)
